Sampling	Condition	SampleID	Taunc	Tacorr	analyte_mass g	file name	CRM type	CRM TA umol_kg-1	Titrant nominal concentration M	Titrant stardized conc M	Titration_batch	Salinity	DIC	analyte_mass	CRM2
48h	4	4.48.3	2.354	2.354	52.57	T40356_20221122_1202_046_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.05	2029.92	0.05257	2214.54
48h	4	4.48.3	2.353	2.353	51.19	T40356_20221122_1630_061_Tdata2	SS20221120_1	2342	0.1	0.1018	2	33.05	2029.92	0.05119	2214.54
72h	1	1.72.1	2.638	2.498106061	51.34	T40356_20221121_1554_019_Tdata1	batch203_1	2214.54	0.1	0.1056	1	34.80	2029.92	0.05134	2214.54
72h	1	1.72.1	2.644	2.503787879	50.58	T40356_20221121_1554_019_Tdata2	batch203_1	2214.54	0.1	0.1056	1	34.80	2029.92	0.05058	2214.54
72h	1	1.72.2	2.685	2.542613636	49.22	T40356_20221121_1608_020_Tdata1	batch203_1	2214.54	0.1	0.1056	1	34.48	2029.92	0.04922	2214.54
72h	1	1.72.2	2.696	2.553030303	49.37	T40356_20221121_1608_020_Tdata2	batch203_1	2214.54	0.1	0.1056	1	34.48	2029.92	0.04937	2214.54
72h	1	1.72.3	2.59	2.452651515	50.14	T40356_20221121_1619_021_Tdata1	batch203_1	2214.54	0.1	0.1056	1	33.21	2029.92	0.05014	2214.54
72h	1	1.72.3	2.554	2.418560606	47.3	T40356_20221121_1619_021_Tdata2	batch203_1	2214.54	0.1	0.1056	1	33.21	2029.92	0.0473	2214.54
72h	2	2.72.1	2.566	2.429924242	45.94	T40356_20221121_1631_022_Tdata1	batch203_1	2214.54	0.1	0.1056	1	34.08	2029.92	0.04594	2214.54
72h	2	2.72.1	2.549	2.413825758	50.64	T40356_20221121_1631_022_Tdata2	batch203_1	2214.54	0.1	0.1056	1	34.08	2029.92	0.05064	2214.54
72h	2	2.72.2	2.527	2.392992424	49.7	T40356_20221121_1645_023_Tdata1	batch203_1	2214.54	0.1	0.1056	1	33.86	2029.92	0.0497	2214.54
72h	2	2.72.2	2.515	2.381628788	49.76	T40356_20221121_1645_023_Tdata2	batch203_1	2214.54	0.1	0.1056	1	33.86	2029.92	0.04976	2214.54
72h	2	2.72.3	2.467	2.336174242	50.69	T40356_20221121_1656_024_Tdata1	batch203_1	2214.54	0.1	0.1056	1	31.99	2029.92	0.05069	2214.54
